epoch,step,loss,lr
1,1,15.157463073730469,0.0003
1,2,8.073668479919434,0.0003
1,3,14.25605297088623,0.0003
1,4,8.057870864868164,0.0003
1,5,20.76881980895996,0.0003
1,6,12.612903594970703,0.0003
1,7,23.351987838745117,0.0003
1,8,26.400272369384766,0.0003
1,9,8.300302505493164,0.0003
1,10,9.971055030822754,0.0003
1,11,8.100140571594238,0.0003
1,12,7.8862433433532715,0.0003
1,13,7.797750473022461,0.0003
1,14,95.97319793701172,0.0003
1,15,9.811347961425781,0.0003
1,16,29.024080276489258,0.0003
1,17,22.869014739990234,0.0003
1,18,12.662192344665527,0.0003
1,19,9.014284133911133,0.0003
1,20,12.85173225402832,0.0003
1,21,9.827754974365234,0.0003
1,22,6.676526069641113,0.0003
1,23,6.886309623718262,0.0003
1,24,8.678065299987793,0.0003
1,25,5.325234889984131,0.0003
1,26,6.645626544952393,0.0003
1,27,10.137481689453125,0.0003
1,28,7.2262091636657715,0.0003
1,29,5.426740646362305,0.0003
1,30,3.889528274536133,0.0003
1,31,6.035261154174805,0.0003
1,32,6.509760856628418,0.0003
1,33,7.401600360870361,0.0003
1,34,7.00213623046875,0.0003
1,35,7.128862380981445,0.0003
1,36,5.508687973022461,0.0003
1,37,4.933423042297363,0.0003
1,38,4.399229049682617,0.0003
1,39,6.261500835418701,0.0003
1,40,5.065036773681641,0.0003
1,41,5.308078289031982,0.0003
1,42,5.809867858886719,0.0003
1,43,6.213570594787598,0.0003
1,44,3.8934860229492188,0.0003
2,1,4.497807025909424,0.0003
2,2,6.240857124328613,0.0003
2,3,4.221438884735107,0.0003
2,4,3.964526653289795,0.0003
2,5,4.4952311515808105,0.0003
2,6,4.166411399841309,0.0003
2,7,4.898168087005615,0.0003
2,8,5.533553600311279,0.0003
2,9,3.452695846557617,0.0003
2,10,6.576732635498047,0.0003
2,11,4.243721961975098,0.0003
2,12,5.012608528137207,0.0003
2,13,4.892744064331055,0.0003
2,14,5.126026153564453,0.0003
2,15,3.9182891845703125,0.0003
2,16,5.614029407501221,0.0003
2,17,4.434798240661621,0.0003
2,18,4.691283702850342,0.0003
2,19,4.518159866333008,0.0003
2,20,4.828851222991943,0.0003
2,21,3.2429580688476562,0.0003
2,22,4.877114295959473,0.0003
2,23,5.126157760620117,0.0003
2,24,5.071239948272705,0.0003
2,25,4.74322509765625,0.0003
2,26,3.4615395069122314,0.0003
2,27,4.8028154373168945,0.0003
2,28,5.888036251068115,0.0003
2,29,6.312609672546387,0.0003
2,30,4.822290420532227,0.0003
2,31,7.948688507080078,0.0003
2,32,4.155473709106445,0.0003
2,33,7.201987266540527,0.0003
2,34,4.637312889099121,0.0003
2,35,5.0774126052856445,0.0003
2,36,4.225244045257568,0.0003
2,37,5.195895195007324,0.0003
2,38,6.016845226287842,0.0003
2,39,4.150305271148682,0.0003
2,40,4.181369781494141,0.0003
2,41,5.494858264923096,0.0003
2,42,5.320223808288574,0.0003
2,43,4.288894176483154,0.0003
2,44,3.704749584197998,0.0003
3,1,5.168401718139648,0.0003
3,2,4.016101837158203,0.0003
3,3,4.163130760192871,0.0003
3,4,4.037195205688477,0.0003
3,5,5.929560661315918,0.0003
3,6,4.808898448944092,0.0003
3,7,3.319614887237549,0.0003
3,8,5.783280849456787,0.0003
3,9,5.820441246032715,0.0003
3,10,4.762363433837891,0.0003
3,11,3.100856304168701,0.0003
3,12,2.652230978012085,0.0003
3,13,4.158443927764893,0.0003
3,14,3.558300018310547,0.0003
3,15,4.669930458068848,0.0003
3,16,4.61177921295166,0.0003
3,17,5.494040012359619,0.0003
3,18,5.24026346206665,0.0003
3,19,5.76645040512085,0.0003
3,20,4.568406105041504,0.0003
3,21,4.222431659698486,0.0003
3,22,4.524465560913086,0.0003
3,23,4.564320087432861,0.0003
3,24,4.0597429275512695,0.0003
3,25,4.235724925994873,0.0003
3,26,3.4638824462890625,0.0003
3,27,3.723963737487793,0.0003
3,28,4.838492393493652,0.0003
3,29,4.455893516540527,0.0003
3,30,4.227293014526367,0.0003
3,31,4.742011070251465,0.0003
3,32,4.265023231506348,0.0003
3,33,4.559219837188721,0.0003
3,34,4.079312801361084,0.0003
3,35,4.770333290100098,0.0003
3,36,3.653411626815796,0.0003
3,37,4.253730297088623,0.0003
3,38,3.958890914916992,0.0003
3,39,6.381678581237793,0.0003
3,40,3.6969079971313477,0.0003
3,41,4.077303409576416,0.0003
3,42,4.185434818267822,0.0003
3,43,3.1848480701446533,0.0003
3,44,3.196164846420288,0.0003
4,1,5.2716803550720215,0.0003
4,2,4.849625110626221,0.0003
4,3,4.2616353034973145,0.0003
4,4,5.324057579040527,0.0003
4,5,5.315121650695801,0.0003
4,6,2.7879629135131836,0.0003
4,7,5.384823799133301,0.0003
4,8,4.468684673309326,0.0003
4,9,4.865787982940674,0.0003
4,10,3.6003215312957764,0.0003
4,11,5.061348915100098,0.0003
4,12,3.838038444519043,0.0003
4,13,3.1251463890075684,0.0003
4,14,3.570765972137451,0.0003
4,15,4.581015586853027,0.0003
4,16,3.272878885269165,0.0003
4,17,3.1285128593444824,0.0003
4,18,4.304749011993408,0.0003
4,19,4.579419136047363,0.0003
4,20,3.1514463424682617,0.0003
4,21,5.848472595214844,0.0003
4,22,5.774968147277832,0.0003
4,23,4.193410396575928,0.0003
4,24,4.99049186706543,0.0003
4,25,5.459017276763916,0.0003
4,26,4.32451057434082,0.0003
4,27,5.213333606719971,0.0003
4,28,4.2591471672058105,0.0003
4,29,5.794961452484131,0.0003
4,30,6.047796249389648,0.0003
4,31,4.666527271270752,0.0003
4,32,4.668492794036865,0.0003
4,33,3.2727274894714355,0.0003
4,34,4.7975873947143555,0.0003
4,35,4.396623611450195,0.0003
