epoch,step,loss,lr
1,1,9.606077194213867,0.0001
1,2,7.430274486541748,0.0001
1,3,8.4069185256958,0.0001
1,4,7.3104705810546875,0.0001
1,5,3.8700499534606934,0.0001
1,6,5.35298490524292,0.0001
1,7,8.224723815917969,0.0001
1,8,5.3547234535217285,0.0001
1,9,10.823343276977539,0.0001
1,10,2.2579152584075928,0.0001
1,11,7.936886787414551,0.0001
1,12,4.955573081970215,0.0001
1,13,6.41670036315918,0.0001
1,14,7.0036163330078125,0.0001
1,15,4.758968353271484,0.0001
1,16,5.344047546386719,0.0001
1,17,5.848344802856445,0.0001
1,18,4.6242289543151855,0.0001
1,19,8.129258155822754,0.0001
1,20,5.170763969421387,0.0001
1,21,6.366667747497559,0.0001
1,22,5.425296783447266,0.0001
1,23,3.2621076107025146,0.0001
